Clause,Clause Type
"['Accordingly, the parties agree that  the validity, interpretation and legal effect of this Agreement shall be governed by the internal laws of the State of New York, U.S.A., applicable to  contracts entered in and performed entirely within the State of New York, U.S.A. without regard to any conflict of law principles.']",Governing Law
['This Agreement shall be governed by the laws of Nova Scotia and the laws of Canada applicable in Nova Scotia.'],Governing Law
['This Agreement shall be governed by and construed in all respects in accordance with the law of England and Wales and both parties  submit to the exclusive jurisdiction of the English Courts.'],Governing Law
"['This Agreement will be governed by the laws of the State of California, without<omitted>giving effect to the conflicts of laws principles thereof.']",Governing Law
"['The  construction,  interpretation  and  performance  of this Agreement          shall be governed by the laws of Switzerland,  except for its conflicts          of law principles.']",Governing Law
"['THE VALIDITY, CONSTRUCTION AND ENFORCEABILITY OF THIS AGREEMENT SHALL BE GOVERNED BY THE LAWS OF THE STATE OF MINNESOTA, WITHOUT GIVING EFFECT TO CONFLICT OF LAWS PRINCIPLES THEREOF.']",Governing Law
['This Agreement shall be governed by and interpreted in accordance within the laws of the State of New York without reference to conflicts of laws provisions.'],Governing Law
['This AGREEMENT shall be governed by and construed under the   Laws of the Republic of South Africa.'],Governing Law
['This Agreement shall be interpreted in accordance with the                   laws of the State of Indiana.'],Governing Law
"['THIS AGREEMENT AND THE RIGHTS AND OBLIGATIONS OF THE PARTIES HEREUNDER SHALL BE CONSTRUED ACCORDING TO AND GOVERNED BY THE SUBSTANTIVE LAWS OF THE STATE OF DELAWARE, EXCLUDING ITS CONFLICTS OF LAWS PRINCIPLES TO THE EXTENT SUCH PRINCIPLES WOULD LEAD TO THE APPLICATION OF A SUBSTANTIVE LAW OTHER THAN THE LAW OF THE STATE OF DELAWARE.']",Governing Law
"['This Agreement shall be governed by and construed in accordance with the laws of New York, without giving effect to the principles of conflict of laws.']",Governing Law
"['This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to choice of law principles that would require the application of the laws of any other jurisdiction.']",Governing Law
